epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9265,3.15177,4.81358,2.13877,0.00104,0.03741,0.00105,0.00038,2.68381,4.41777,1.51154,9.375e-05,9.375e-05,9.375e-05
2,15.3985,2.21151,4.56468,1.31186,0.0018,0.07415,0.00185,0.00077,1.89738,4.4684,1.19116,0.000191832,0.000191832,0.000191832
3,16.9769,1.65847,4.22397,1.11349,0.00204,0.06659,0.00296,0.00167,1.54196,4.45265,1.06148,0.000287934,0.000287934,0.000287934
4,18.398,1.54738,3.94259,1.05378,0.01025,0.27829,0.0284,0.01602,1.43167,4.19357,1.00691,0.000382056,0.000382056,0.000382056
5,19.8341,1.59544,3.70807,1.05627,0.01976,0.7558,0.08731,0.04646,1.41098,3.85755,1.0015,0.000474197,0.000474197,0.000474197
6,21.2628,1.49511,3.5274,1.04121,0.02062,0.83351,0.11899,0.05863,1.50213,3.58107,1.02437,0.000564359,0.000564359,0.000564359
7,22.6794,1.55888,3.31257,1.05392,0.10764,0.45042,0.1371,0.07673,1.49702,3.18047,1.0268,0.000587875,0.000587875,0.000587875
8,24.1027,1.55315,3.09599,1.05011,0.22015,0.19933,0.17386,0.09332,1.50812,2.83706,1.03248,0.000581687,0.000581687,0.000581687
9,25.5131,1.48099,2.91944,1.01876,0.24665,0.44409,0.26792,0.14982,1.51223,2.56698,1.02237,0.0005755,0.0005755,0.0005755
10,26.9223,1.48636,2.84401,1.03281,0.24299,0.48662,0.30946,0.14376,1.76004,2.48612,1.13164,0.000569313,0.000569313,0.000569313
11,28.4716,1.49494,2.69831,1.02216,0.32389,0.49661,0.39054,0.23579,1.4006,2.30881,0.9886,0.000563125,0.000563125,0.000563125
12,29.8949,1.4052,2.61769,0.99818,0.37909,0.48205,0.40565,0.24061,1.46792,2.29856,1.00897,0.000556938,0.000556938,0.000556938
13,31.3232,1.37255,2.48667,0.99812,0.33872,0.53723,0.40887,0.23718,1.50454,2.22622,1.03105,0.00055075,0.00055075,0.00055075
14,32.696,1.41329,2.43989,0.98987,0.38846,0.58258,0.44973,0.28333,1.36668,2.09041,0.98804,0.000544563,0.000544563,0.000544563
15,34.0979,1.34268,2.31134,0.98169,0.41969,0.59876,0.51026,0.23996,1.65703,2.03441,1.08216,0.000538375,0.000538375,0.000538375
16,35.4727,1.41828,2.28944,0.99794,0.46644,0.68631,0.55097,0.29318,1.46239,1.87807,1.01409,0.000532187,0.000532187,0.000532187
17,36.8773,1.41945,2.22169,0.97844,0.55638,0.69436,0.61748,0.37631,1.31332,1.79857,0.96999,0.000526,0.000526,0.000526
18,38.287,1.34972,2.11996,0.98214,0.53806,0.67342,0.64559,0.335,1.66596,1.89266,1.10481,0.000519812,0.000519812,0.000519812
19,39.6652,1.3458,2.01041,0.99557,0.62402,0.70521,0.67726,0.35122,1.56231,1.83933,1.0477,0.000513625,0.000513625,0.000513625
20,41.1799,1.32413,2.0157,0.97466,0.65201,0.7608,0.68658,0.42246,1.28468,1.6979,0.96415,0.000507438,0.000507438,0.000507438
21,42.5697,1.27494,1.92974,0.9613,0.6263,0.79695,0.72359,0.42421,1.34731,1.62128,0.9877,0.00050125,0.00050125,0.00050125
22,43.9689,1.31167,1.82935,0.97828,0.72943,0.7662,0.77458,0.44492,1.43667,1.54205,1.01547,0.000495063,0.000495063,0.000495063
23,45.3647,1.29637,1.7963,0.97672,0.80146,0.77534,0.80228,0.51695,1.27273,1.49938,0.96117,0.000488875,0.000488875,0.000488875
24,46.7745,1.25572,1.74053,0.96003,0.81526,0.76938,0.8125,0.51687,1.26038,1.42715,0.95507,0.000482687,0.000482687,0.000482687
25,48.1744,1.27032,1.65789,0.98297,0.83795,0.80053,0.8456,0.48716,1.42985,1.38374,1.0062,0.0004765,0.0004765,0.0004765
26,49.5347,1.27547,1.61793,0.97777,0.80998,0.82815,0.85784,0.51945,1.31849,1.28304,0.98364,0.000470312,0.000470312,0.000470312
27,50.9364,1.23016,1.51128,0.95363,0.81017,0.8483,0.85824,0.55257,1.21722,1.24824,0.94885,0.000464125,0.000464125,0.000464125
28,52.3243,1.26323,1.56099,0.9656,0.844,0.83479,0.88981,0.51526,1.43374,1.21502,1.01173,0.000457938,0.000457938,0.000457938
29,53.8293,1.23356,1.4663,0.94878,0.85213,0.84642,0.89254,0.57328,1.26698,1.15569,0.95923,0.00045175,0.00045175,0.00045175
30,55.2148,1.24867,1.61608,0.96699,0.85106,0.85066,0.90924,0.61486,1.17278,1.10716,0.93559,0.000445562,0.000445562,0.000445562
31,56.5992,1.20448,1.46811,0.96957,0.80888,0.86855,0.88896,0.54178,1.34847,1.18095,0.98149,0.000439375,0.000439375,0.000439375
