epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6925,3.00451,4.94688,2.17894,0.61282,0.14728,0.18868,0.09629,1.9069,4.19267,1.26999,9.375e-05,9.375e-05,9.375e-05
2,26.546,1.66334,2.8,1.18861,0.09569,0.47562,0.16768,0.08952,1.70719,7.93871,1.20892,0.000191832,0.000191832,0.000191832
3,33.4756,1.54265,2.26151,1.14517,0.50745,0.43553,0.50524,0.28593,1.60731,2.3114,1.18335,0.000287934,0.000287934,0.000287934
4,40.2934,1.39347,1.85022,1.08379,0.59247,0.67313,0.71879,0.43425,1.437,1.97135,1.09773,0.000382056,0.000382056,0.000382056
5,46.8709,1.37755,1.658,1.0764,0.71824,0.78667,0.83897,0.44164,1.68644,1.66737,1.21437,0.000474197,0.000474197,0.000474197
6,53.3984,1.40479,1.47551,1.08914,0.70528,0.74754,0.79919,0.45358,1.56369,1.46697,1.14642,0.000564359,0.000564359,0.000564359
7,59.9181,1.47999,1.47275,1.10202,0.65868,0.75154,0.7087,0.42366,1.46469,1.85436,1.10103,0.000587875,0.000587875,0.000587875
8,66.3415,1.4606,1.36976,1.0899,0.71236,0.77771,0.86731,0.48712,1.62421,1.53924,1.18496,0.000581687,0.000581687,0.000581687
9,72.8576,1.30564,1.2352,1.02018,0.84133,0.8033,0.88261,0.5593,1.30771,1.28501,1.04742,0.0005755,0.0005755,0.0005755
10,79.3592,1.31186,1.29717,1.04044,0.83738,0.76789,0.88694,0.48352,1.56724,1.29656,1.15711,0.000569313,0.000569313,0.000569313
11,85.773,1.32165,1.1763,1.01318,0.74815,0.77418,0.81643,0.51088,1.3428,1.35094,1.05865,0.000563125,0.000563125,0.000563125
12,92.1966,1.26744,1.09836,1.02107,0.82496,0.84995,0.91835,0.54819,1.41702,1.03895,1.07383,0.000556938,0.000556938,0.000556938
13,98.6109,1.20637,1.03226,1.00083,0.79346,0.86569,0.90647,0.5191,1.48244,1.00197,1.09145,0.00055075,0.00055075,0.00055075
14,105.026,1.20434,0.98299,0.98825,0.8099,0.86196,0.90742,0.52159,1.44023,0.98824,1.09059,0.000544563,0.000544563,0.000544563
15,111.421,1.17296,0.9794,0.9892,0.84079,0.8267,0.91139,0.49035,1.54128,1.00491,1.14097,0.000538375,0.000538375,0.000538375
16,117.817,1.19795,0.96756,0.99392,0.84306,0.83803,0.9162,0.58332,1.25803,0.96107,0.99864,0.000532187,0.000532187,0.000532187
17,124.303,1.22997,0.95751,0.98659,0.82943,0.86459,0.92455,0.57708,1.32973,0.92477,1.03338,0.000526,0.000526,0.000526
18,130.691,1.17935,0.91258,0.98629,0.85367,0.868,0.93492,0.52272,1.50544,0.87864,1.10395,0.000519812,0.000519812,0.000519812
19,137.095,1.20709,0.89426,1.01265,0.81461,0.92209,0.93457,0.60348,1.24064,0.83046,0.98932,0.000513625,0.000513625,0.000513625
20,143.569,1.23889,0.89243,1.01489,0.86676,0.86021,0.94209,0.49959,1.5889,0.91354,1.14507,0.000507438,0.000507438,0.000507438
21,149.941,1.18172,0.91307,0.99272,0.83801,0.89534,0.94504,0.58238,1.30601,0.85205,1.00521,0.00050125,0.00050125,0.00050125
