epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4607,2.53562,4.30441,2.78281,0.361,0.49036,0.13117,0.06766,1.26851,3.76749,1.52929,9.375e-05,9.375e-05,9.375e-05
2,20.7912,1.41335,2.76557,1.56848,0.24235,0.50915,0.34217,0.20204,1.28124,3.03022,1.61517,0.000191832,0.000191832,0.000191832
3,25.0104,1.1919,2.14142,1.38414,0.22961,0.74105,0.41998,0.27176,1.07244,4.12288,1.34131,0.000287934,0.000287934,0.000287934
4,29.1388,1.16502,1.98106,1.36389,0.57933,0.69637,0.68217,0.53101,0.88746,2.66238,1.18008,0.000382056,0.000382056,0.000382056
5,33.2263,1.06755,1.74515,1.2906,0.65019,0.77763,0.77442,0.39375,1.44706,1.96654,1.64179,0.000474197,0.000474197,0.000474197
6,37.2478,1.09721,1.58275,1.28735,0.67451,0.71384,0.80329,0.59206,1.01511,1.69806,1.22419,0.000564359,0.000564359,0.000564359
7,41.4437,1.24715,1.70346,1.39087,0.71398,0.72204,0.79922,0.5289,1.29108,1.41204,1.46837,0.000587875,0.000587875,0.000587875
8,45.4694,1.18588,1.49864,1.35376,0.77877,0.68631,0.80996,0.54151,1.21298,1.50828,1.40311,0.000581687,0.000581687,0.000581687
9,49.4656,1.09964,1.29825,1.26761,0.79013,0.73466,0.8535,0.57836,1.186,1.45296,1.39172,0.0005755,0.0005755,0.0005755
10,53.4476,1.00668,1.26037,1.23548,0.68484,0.85271,0.90566,0.61328,1.15805,1.12829,1.38622,0.000569313,0.000569313,0.000569313
11,57.5026,0.98575,1.15043,1.18899,0.84859,0.87144,0.95587,0.74565,0.87082,0.86126,1.12288,0.000563125,0.000563125,0.000563125
12,61.5377,0.94102,1.03914,1.17835,0.77381,0.86965,0.90877,0.73153,0.75678,0.88752,1.06864,0.000556938,0.000556938,0.000556938
13,65.5181,0.93324,0.97982,1.17223,0.89382,0.90205,0.96528,0.7333,1.01277,0.75128,1.22737,0.00055075,0.00055075,0.00055075
14,69.5158,0.90096,0.92806,1.15625,0.92947,0.96591,0.97569,0.75474,0.8634,0.63484,1.10109,0.000544563,0.000544563,0.000544563
15,73.5543,0.88251,0.88178,1.15393,0.95835,0.97052,0.98262,0.80148,0.73335,0.54593,1.04294,0.000538375,0.000538375,0.000538375
16,77.6124,0.91135,0.84832,1.14254,0.96598,0.96218,0.98497,0.81649,0.74154,0.52317,1.0484,0.000532187,0.000532187,0.000532187
17,81.6524,0.85913,0.8527,1.13018,0.94575,0.97893,0.98815,0.79128,0.80795,0.55336,1.06108,0.000526,0.000526,0.000526
18,85.6333,0.85704,0.8304,1.12439,0.95758,0.93897,0.98321,0.83885,0.65011,0.51697,0.98293,0.000519812,0.000519812,0.000519812
19,89.7535,0.84579,0.80277,1.13391,0.94216,0.94821,0.98068,0.75099,0.89318,0.59727,1.11387,0.000513625,0.000513625,0.000513625
20,93.7187,0.84173,0.80981,1.12725,0.97032,0.95909,0.98856,0.73401,0.98168,0.57878,1.14955,0.000507438,0.000507438,0.000507438
21,97.686,0.86499,0.73864,1.10919,0.9806,0.98164,0.98877,0.8155,0.73896,0.43577,1.02164,0.00050125,0.00050125,0.00050125
22,101.643,0.78693,0.7194,1.08225,0.98447,0.98512,0.98821,0.76183,0.90352,0.45396,1.11453,0.000495063,0.000495063,0.000495063
23,105.607,0.84013,0.71956,1.12455,0.98379,0.97961,0.98912,0.71891,1.05517,0.4798,1.17021,0.000488875,0.000488875,0.000488875
24,109.586,0.9836,0.74649,1.2,0.9822,0.97476,0.98884,0.87395,0.5486,0.41279,0.92168,0.000482687,0.000482687,0.000482687
25,113.598,0.85499,0.71169,1.14859,0.98286,0.98192,0.98963,0.84673,0.63828,0.42557,0.96097,0.0004765,0.0004765,0.0004765
